"x","y","first_image","second_image","rad"
78,282,"Scene30_CON.png","Scene30_SEM.png",43.5
27,588,"Scene30_CON.png","Scene30_SEM.png",43.5
27,639,"Scene30_CON.png","Scene30_SEM.png",43.5
78,690,"Scene30_CON.png","Scene30_SEM.png",43.5
27,741,"Scene30_CON.png","Scene30_SEM.png",43.5
27,282,"Scene30_CON.png","Scene30_SEM.png",43.5
78,231,"Scene30_CON.png","Scene30_SEM.png",43.5
27,180,"Scene30_CON.png","Scene30_SEM.png",43.5
78,129,"Scene30_CON.png","Scene30_SEM.png",43.5
27,129,"Scene30_CON.png","Scene30_SEM.png",43.5
78,78,"Scene30_CON.png","Scene30_SEM.png",43.5
129,78,"Scene30_CON.png","Scene30_SEM.png",43.5
129,129,"Scene30_CON.png","Scene30_SEM.png",43.5
180,180,"Scene30_CON.png","Scene30_SEM.png",43.5
180,129,"Scene30_CON.png","Scene30_SEM.png",43.5
129,180,"Scene30_CON.png","Scene30_SEM.png",43.5
78,180,"Scene30_CON.png","Scene30_SEM.png",43.5
129,282,"Scene30_CON.png","Scene30_SEM.png",43.5
486,231,"Scene31_CON.png","Scene31_SEM.png",43.5
537,231,"Scene31_CON.png","Scene31_SEM.png",43.5
588,231,"Scene31_CON.png","Scene31_SEM.png",43.5
639,231,"Scene31_CON.png","Scene31_SEM.png",43.5
639,282,"Scene31_CON.png","Scene31_SEM.png",43.5
690,282,"Scene31_CON.png","Scene31_SEM.png",43.5
690,333,"Scene31_CON.png","Scene31_SEM.png",43.5
639,333,"Scene31_CON.png","Scene31_SEM.png",43.5
588,282,"Scene31_CON.png","Scene31_SEM.png",43.5
537,282,"Scene31_CON.png","Scene31_SEM.png",43.5
486,282,"Scene31_CON.png","Scene31_SEM.png",43.5
537,333,"Scene31_CON.png","Scene31_SEM.png",43.5
588,333,"Scene31_CON.png","Scene31_SEM.png",43.5
129,333,"Scene32_CON.png","Scene32_SEM.png",43.5
180,333,"Scene32_CON.png","Scene32_SEM.png",43.5
231,333,"Scene32_CON.png","Scene32_SEM.png",43.5
282,333,"Scene32_CON.png","Scene32_SEM.png",43.5
282,282,"Scene32_CON.png","Scene32_SEM.png",43.5
231,231,"Scene32_CON.png","Scene32_SEM.png",43.5
180,231,"Scene32_CON.png","Scene32_SEM.png",43.5
129,282,"Scene32_CON.png","Scene32_SEM.png",43.5
180,282,"Scene32_CON.png","Scene32_SEM.png",43.5
231,282,"Scene32_CON.png","Scene32_SEM.png",43.5
639,486,"Scene33_CON.png","Scene33_SEM.png",43.5
690,486,"Scene33_CON.png","Scene33_SEM.png",43.5
741,537,"Scene33_CON.png","Scene33_SEM.png",43.5
690,537,"Scene33_CON.png","Scene33_SEM.png",43.5
690,537,"Scene34_CON.png","Scene34_SEM.png",43.5
741,537,"Scene34_CON.png","Scene34_SEM.png",43.5
792,588,"Scene34_CON.png","Scene34_SEM.png",43.5
741,588,"Scene34_CON.png","Scene34_SEM.png",43.5
690,588,"Scene34_CON.png","Scene34_SEM.png",43.5
27,384,"Scene35_CON.png","Scene35_SEM.png",43.5
78,384,"Scene35_CON.png","Scene35_SEM.png",43.5
588,333,"Scene36_CON.png","Scene36_SEM.png",43.5
639,282,"Scene36_CON.png","Scene36_SEM.png",43.5
639,333,"Scene36_CON.png","Scene36_SEM.png",43.5
129,588,"Scene37_CON.png","Scene37_SEM.png",43.5
180,588,"Scene37_CON.png","Scene37_SEM.png",43.5
231,537,"Scene37_CON.png","Scene37_SEM.png",43.5
282,486,"Scene37_CON.png","Scene37_SEM.png",43.5
231,486,"Scene37_CON.png","Scene37_SEM.png",43.5
180,435,"Scene37_CON.png","Scene37_SEM.png",43.5
129,486,"Scene37_CON.png","Scene37_SEM.png",43.5
78,537,"Scene37_CON.png","Scene37_SEM.png",43.5
129,537,"Scene37_CON.png","Scene37_SEM.png",43.5
180,537,"Scene37_CON.png","Scene37_SEM.png",43.5
180,486,"Scene37_CON.png","Scene37_SEM.png",43.5
741,588,"Scene38_CON.png","Scene38_SEM.png",43.5
792,537,"Scene38_CON.png","Scene38_SEM.png",43.5
843,537,"Scene38_CON.png","Scene38_SEM.png",43.5
894,537,"Scene38_CON.png","Scene38_SEM.png",43.5
945,537,"Scene38_CON.png","Scene38_SEM.png",43.5
894,486,"Scene38_CON.png","Scene38_SEM.png",43.5
945,588,"Scene38_CON.png","Scene38_SEM.png",43.5
996,588,"Scene38_CON.png","Scene38_SEM.png",43.5
945,639,"Scene38_CON.png","Scene38_SEM.png",43.5
894,639,"Scene38_CON.png","Scene38_SEM.png",43.5
843,639,"Scene38_CON.png","Scene38_SEM.png",43.5
792,639,"Scene38_CON.png","Scene38_SEM.png",43.5
792,588,"Scene38_CON.png","Scene38_SEM.png",43.5
843,588,"Scene38_CON.png","Scene38_SEM.png",43.5
894,588,"Scene38_CON.png","Scene38_SEM.png",43.5
282,690,"Scene39_CON.png","Scene39_SEM.png",43.5
333,690,"Scene39_CON.png","Scene39_SEM.png",43.5
384,690,"Scene39_CON.png","Scene39_SEM.png",43.5
384,639,"Scene39_CON.png","Scene39_SEM.png",43.5
384,588,"Scene39_CON.png","Scene39_SEM.png",43.5
333,588,"Scene39_CON.png","Scene39_SEM.png",43.5
333,537,"Scene39_CON.png","Scene39_SEM.png",43.5
282,486,"Scene39_CON.png","Scene39_SEM.png",43.5
282,537,"Scene39_CON.png","Scene39_SEM.png",43.5
231,537,"Scene39_CON.png","Scene39_SEM.png",43.5
231,588,"Scene39_CON.png","Scene39_SEM.png",43.5
282,639,"Scene39_CON.png","Scene39_SEM.png",43.5
231,639,"Scene39_CON.png","Scene39_SEM.png",43.5
333,639,"Scene39_CON.png","Scene39_SEM.png",43.5
282,588,"Scene39_CON.png","Scene39_SEM.png",43.5
231,537,"Scene40_CON.png","Scene40_SEM.png",43.5
282,537,"Scene40_CON.png","Scene40_SEM.png",43.5
180,486,"Scene40_CON.png","Scene40_SEM.png",43.5
231,486,"Scene40_CON.png","Scene40_SEM.png",43.5
231,435,"Scene40_CON.png","Scene40_SEM.png",43.5
282,639,"Scene41_CON.png","Scene41_SEM.png",43.5
333,588,"Scene41_CON.png","Scene41_SEM.png",43.5
