"x","y","first_image","second_image","rad","delay1","delay2","delay3","delay4","delay5"
486,639,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
486,690,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
435,690,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
384,690,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
333,690,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
282,690,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
282,639,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
282,588,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
333,588,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
384,588,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
435,588,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
435,639,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
384,639,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
333,639,"Scene24_CON.png","Scene24_SEM.png",43.5,1000,2000,3000,4000,0
843,282,"Scene25_CON.png","Scene25_SEM.png",43.5,2000,3000,4000,0,1000
894,333,"Scene25_CON.png","Scene25_SEM.png",43.5,2000,3000,4000,0,1000
945,333,"Scene25_CON.png","Scene25_SEM.png",43.5,2000,3000,4000,0,1000
945,282,"Scene25_CON.png","Scene25_SEM.png",43.5,2000,3000,4000,0,1000
894,282,"Scene25_CON.png","Scene25_SEM.png",43.5,2000,3000,4000,0,1000
894,231,"Scene25_CON.png","Scene25_SEM.png",43.5,2000,3000,4000,0,1000
843,282,"Scene26_CON.png","Scene26_SEM.png",43.5,2000,3000,4000,0,1000
894,231,"Scene26_CON.png","Scene26_SEM.png",43.5,2000,3000,4000,0,1000
945,282,"Scene26_CON.png","Scene26_SEM.png",43.5,2000,3000,4000,0,1000
894,282,"Scene26_CON.png","Scene26_SEM.png",43.5,2000,3000,4000,0,1000
537,537,"Scene27_CON.png","Scene27_SEM.png",43.5,2000,3000,4000,0,1000
486,537,"Scene27_CON.png","Scene27_SEM.png",43.5,2000,3000,4000,0,1000
435,486,"Scene27_CON.png","Scene27_SEM.png",43.5,2000,3000,4000,0,1000
486,486,"Scene27_CON.png","Scene27_SEM.png",43.5,2000,3000,4000,0,1000
180,435,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
231,384,"Scene28_CON.png","Scene28_SEM.png",43.5,2000,3000,4000,0,1000
