RootScene,MorphScene,Patch,Meaning,Saliency,Attention,MeaningSaliencyDiff,MeaningContrast,Patch_X,Patch_Y,possiblePatchesN,type
target_office_IDS01.png,target_office_IDS01_HighMean.png,29,0.617,0.180,0.902,0.437,0.811,384.500,214.000,10,HighMean
target_office_IDS01.png,target_office_IDS01_LowMean.png,26,-0.194,0.156,0.035,-0.350,0.811,129.500,214.000,10,LowMean
target_park.png,target_park_HighMean.png,32,0.792,0.375,-0.021,0.417,0.993,639.500,214.000,13,HighMean
target_park.png,target_park_LowMean.png,89,-0.201,0.151,-0.427,-0.352,0.993,384.500,639.000,13,LowMean
target_parkinglot.png,target_parkinglot_HighMean.png,58,0.825,0.322,0.785,0.503,1.073,809.500,384.000,6,HighMean
target_parkinglot.png,target_parkinglot_LowMean.png,86,-0.248,0.219,0.018,-0.467,1.073,129.500,639.000,6,LowMean
target_patio.png,target_patio_HighMean.png,30,0.908,0.331,-0.297,0.576,1.085,469.500,214.000,9,HighMean
target_patio.png,target_patio_LowMean.png,74,-0.178,0.260,0.396,-0.437,1.085,129.500,554.000,9,LowMean
target_playground.png,target_playground_HighMean.png,30,1.007,0.240,-0.252,0.766,1.202,469.500,214.000,11,HighMean
target_playground.png,target_playground_LowMean.png,74,-0.195,0.316,0.012,-0.511,1.202,129.500,554.000,11,LowMean
target_pool_IDS01.png,target_pool_IDS01_HighMean.png,52,0.833,0.223,-0.511,0.610,0.912,299.500,384.000,4,HighMean
target_pool_IDS01.png,target_pool_IDS01_LowMean.png,35,-0.079,0.133,-0.116,-0.212,0.912,894.500,214.000,4,LowMean
target_porch.png,target_porch_HighMean.png,17,0.232,0.166,0.363,0.066,0.442,384.500,129.000,5,HighMean
target_porch.png,target_porch_LowMean.png,22,-0.210,0.232,-0.153,-0.442,0.442,809.500,129.000,5,LowMean
target_postoffice.png,target_postoffice_HighMean.png,29,1.031,0.302,-0.303,0.730,1.457,384.500,214.000,11,HighMean
target_postoffice.png,target_postoffice_LowMean.png,83,-0.426,0.129,0.076,-0.555,1.457,894.500,554.000,11,LowMean
target_prairie.png,target_prairie_HighMean.png,47,0.054,0.146,-0.343,-0.092,0.049,894.500,299.000,4,HighMean
target_prairie.png,target_prairie_LowMean.png,38,0.005,0.131,0.194,-0.126,0.049,129.500,299.000,4,LowMean
target_racetrack.png,target_racetrack_HighMean.png,30,0.893,0.257,0.201,0.636,0.824,469.500,214.000,5,HighMean
target_racetrack.png,target_racetrack_LowMean.png,75,0.070,0.175,-0.507,-0.106,0.824,214.500,554.000,5,LowMean
target_ranch.png,target_ranch_HighMean.png,79,1.137,0.383,0.611,0.754,1.128,554.500,554.000,9,HighMean
