run_id,condition,success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,sona_id,rt,stimulus,response,PosX,PosY,hit,trial_dur,trialStart,changeOnset,key_time,first_image,second_image,image_duration,mask_duration,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
2,1,"""","""","""","""","""",cb-flicker,172,453874,0.0-11.0-1.52,93038,NaN,"""","""",721.1885714285714,517.8514285714285,true,3138,452106.7999997139,452107.69999980927,"""",target_patio.png,target_patio_HighSal.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,173,455558,0.0-11.0-2.52,93038,1677.4000000953674,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,174,457559,0.0-11.0-0.53,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,175,461308,0.0-11.0-1.53,93038,NaN,"""","""",722.6514285714286,500.29714285714283,true,3745.7000002861023,458932.7999997139,458934.19999980927,"""",target_nursery.png,target_nursery_HighSal.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,176,462493,0.0-11.0-2.53,93038,1179.0999999046326,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,177,464496,0.0-11.0-0.54,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,178,468463,0.0-11.0-1.54,93038,NaN,"""","""",715.3371428571429,359.86285714285714,true,3964.800000190735,465869.39999961853,465870.69999980927,"""",target_mediaroom.png,target_mediaroom_HighMean.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,179,469644,0.0-11.0-2.54,93038,1173.2000002861023,<h3>Correct!</h3>,0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,180,471646,0.0-11.0-0.55,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,181,474996,0.0-11.0-1.55,93038,NaN,"""","""",193.09714285714287,669.9885714285714,false,3347.5,473019,473019.89999961853,"""",target_canyon.png,target_canyon_HighMean.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-button-response,182,476729,0.0-11.0-2.55,93038,1725.5999999046326,"<h3>Sorry, that's not where the distortion was.</h3>",0,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",html-keyboard-response,183,478732,0.0-11.0-0.56,93038,null,"<div class=""container-debug"" style=""background-color:gray;height:525px;width:700px""><div style=""font-size:60px;color:white;text-align:center;vertical-align:middle;line-height:525px;"">+</div></div>",null,"""","""","""","""","""","""","""","""","""","""","""",2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
2,1,"""","""","""","""","""",cb-flicker,184,480817,0.0-11.0-1.56,93038,NaN,"""","""",533.9428571428572,462.2628571428571,true,2083.800000190735,480104.19999980927,480105.09999990463,"""",target_ranch.png,target_ranch_HighMean.png,240,80,2022-01-23 02:12:41,104.222.30.25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",WebKit,Chrome,97.0.4692.99,Windows,10.0,42dc06cf6f210f01c904868893d507e0
