RootScene,MorphScene,Patch,Meaning,Saliency,Attention,Weighted_Meaning,Weighted_Saliency,MeaningSaliencyDiff,Patch_X,Patch_Y,type
target_hardwarestore.png,target_hardwarestore_HighSal.png,46,0.585,1.198,0.860,0.708,1.075,-0.613,809.500,299.000,HighSal
target_heliport.png,target_heliport_HighMean.png,31,1.814,1.178,0.741,1.686,1.305,0.636,554.500,214.000,HighMean
target_heliport.png,target_heliport_HighSal.png,57,1.171,1.859,1.869,1.308,1.721,-0.688,724.500,384.000,HighSal
target_highway.png,target_highway_HighMean.png,79,1.401,1.050,1.618,1.331,1.120,0.351,554.500,554.000,HighMean
target_highway.png,target_highway_HighSal.png,52,1.085,1.396,0.303,1.147,1.334,-0.311,299.500,384.000,HighSal
target_hospital.png,target_hospital_HighMean.png,69,1.251,1.276,1.137,1.256,1.271,-0.026,724.500,469.000,HighMean
target_hospital.png,target_hospital_HighSal.png,82,0.783,1.285,0.869,0.883,1.185,-0.502,809.500,554.000,HighSal
target_laundryroom.png,target_laundryroom_HighMean.png,30,1.199,0.292,0.457,1.018,0.473,0.908,469.500,214.000,HighMean
target_laundryroom.png,target_laundryroom_HighSal.png,78,0.818,1.715,0.592,0.997,1.535,-0.897,469.500,554.000,HighSal
target_library.png,target_library_HighMean.png,77,1.278,0.683,0.124,1.159,0.802,0.596,384.500,554.000,HighMean
target_library.png,target_library_HighSal.png,52,1.241,2.136,1.186,1.420,1.957,-0.895,299.500,384.000,HighSal
target_marsh.png,target_marsh_HighMean.png,45,1.381,1.169,0.926,1.339,1.211,0.212,724.500,299.000,HighMean
target_marsh.png,target_marsh_HighSal.png,27,0.309,1.962,0.460,0.639,1.631,-1.653,214.500,214.000,HighSal
target_mediaroom.png,target_mediaroom_HighMean.png,57,1.538,1.072,1.876,1.445,1.165,0.467,724.500,384.000,HighMean
target_mediaroom.png,target_mediaroom_HighSal.png,46,1.120,1.944,1.470,1.285,1.780,-0.824,809.500,299.000,HighSal
target_mountain.png,target_mountain_HighMean.png,40,1.477,1.339,1.474,1.449,1.366,0.138,299.500,299.000,HighMean
target_mountain.png,target_mountain_HighSal.png,82,0.699,1.329,0.597,0.825,1.203,-0.631,809.500,554.000,HighSal
target_nursery.png,target_nursery_HighMean.png,45,1.348,1.511,2.104,1.381,1.478,-0.162,724.500,299.000,HighMean
target_nursery.png,target_nursery_HighSal.png,81,0.987,1.937,0.800,1.177,1.747,-0.949,724.500,554.000,HighSal
target_park.png,target_park_HighMean.png,40,1.363,1.205,0.802,1.332,1.236,0.159,299.500,299.000,HighMean
target_park.png,target_park_HighSal.png,58,0.548,1.362,0.665,0.711,1.200,-0.814,809.500,384.000,HighSal
target_parkinglot.png,target_parkinglot_HighMean.png,69,1.626,1.434,1.416,1.588,1.473,0.192,724.500,469.000,HighMean
target_parkinglot.png,target_parkinglot_HighSal.png,76,1.419,1.991,1.308,1.533,1.877,-0.572,299.500,554.000,HighSal
target_patio.png,target_patio_HighMean.png,40,1.039,0.764,0.365,0.984,0.819,0.275,299.500,299.000,HighMean
target_patio.png,target_patio_HighSal.png,70,0.558,1.338,1.142,0.714,1.182,-0.780,809.500,469.000,HighSal
target_playground.png,target_playground_HighMean.png,52,1.262,1.431,2.016,1.296,1.397,-0.169,299.500,384.000,HighMean
target_playground.png,target_playground_HighSal.png,80,0.966,1.665,0.099,1.106,1.525,-0.700,639.500,554.000,HighSal
target_porch.png,target_porch_HighMean.png,79,1.313,0.742,0.731,1.199,0.857,0.571,554.500,554.000,HighMean
target_porch.png,target_porch_HighSal.png,40,0.969,1.284,0.352,1.032,1.221,-0.315,299.500,299.000,HighSal
target_postoffice.png,target_postoffice_HighMean.png,52,1.720,1.138,1.020,1.603,1.254,0.582,299.500,384.000,HighMean
target_postoffice.png,target_postoffice_HighSal.png,79,0.691,1.488,0.441,0.850,1.329,-0.797,554.500,554.000,HighSal
target_prairie.png,target_prairie_HighMean.png,57,1.562,0.703,0.902,1.390,0.875,0.859,724.500,384.000,HighMean
target_prairie.png,target_prairie_HighSal.png,40,1.004,1.551,0.376,1.113,1.442,-0.547,299.500,299.000,HighSal
target_racetrack.png,target_racetrack_HighMean.png,28,1.262,0.814,1.000,1.173,0.904,0.448,299.500,214.000,HighMean
target_racetrack.png,target_racetrack_HighSal.png,77,1.043,2.099,0.623,1.255,1.888,-1.056,384.500,554.000,HighSal
target_ranch.png,target_ranch_HighMean.png,79,1.137,0.383,0.611,0.986,0.534,0.754,554.500,554.000,HighMean
target_ranch.png,target_ranch_HighSal.png,51,0.821,1.413,1.143,0.940,1.295,-0.592,214.500,384.000,HighSal
target_recordingstudio.png,target_recordingstudio_HighMean.png,79,1.448,0.895,1.367,1.337,1.006,0.552,554.500,554.000,HighMean
target_recordingstudio.png,target_recordingstudio_HighSal.png,64,1.066,1.640,-0.142,1.181,1.525,-0.573,299.500,469.000,HighSal
target_refrigerator.png,target_refrigerator_HighMean.png,30,1.423,0.943,1.120,1.327,1.039,0.481,469.500,214.000,HighMean
target_refrigerator.png,target_refrigerator_HighSal.png,33,0.884,1.456,0.415,0.998,1.341,-0.572,724.500,214.000,HighSal
target_ruins.png,target_ruins_HighMean.png,78,1.118,0.458,0.056,0.986,0.590,0.661,469.500,554.000,HighMean
target_ruins.png,target_ruins_HighSal.png,27,0.380,1.511,0.234,0.606,1.285,-1.131,214.500,214.000,HighSal
target_sewingroom.png,target_sewingroom_HighMean.png,29,1.355,0.784,1.313,1.241,0.898,0.570,384.500,214.000,HighMean
target_sewingroom.png,target_sewingroom_HighSal.png,63,0.770,1.940,0.225,1.004,1.706,-1.170,214.500,469.000,HighSal
target_soccerfield.png,target_soccerfield_HighMean.png,32,1.580,1.047,1.927,1.473,1.153,0.533,639.500,214.000,HighMean
target_soccerfield.png,target_soccerfield_HighSal.png,51,0.634,1.540,0.111,0.815,1.359,-0.906,214.500,384.000,HighSal
target_stable.png,target_stable_HighMean.png,45,1.376,1.015,0.398,1.303,1.087,0.360,724.500,299.000,HighMean
target_stable.png,target_stable_HighSal.png,31,1.295,1.690,1.418,1.374,1.611,-0.395,554.500,214.000,HighSal
target_stream.png,target_stream_HighMean.png,52,1.105,0.325,0.377,0.949,0.481,0.780,299.500,384.000,HighMean
target_stream.png,target_stream_HighSal.png,45,0.968,1.326,-0.131,1.040,1.254,-0.358,724.500,299.000,HighSal
target_subway.png,target_subway_HighMean.png,45,1.511,1.077,1.272,1.425,1.164,0.435,724.500,299.000,HighMean
target_subway.png,target_subway_HighSal.png,28,1.016,1.826,0.322,1.178,1.664,-0.810,299.500,214.000,HighSal
target_swamp.png,target_swamp_HighMean.png,31,1.328,0.821,0.864,1.227,0.922,0.507,554.500,214.000,HighMean
target_swamp.png,target_swamp_HighSal.png,77,0.913,1.317,0.376,0.994,1.237,-0.404,384.500,554.000,HighSal
target_temple.png,target_temple_HighMean.png,57,1.352,1.305,1.473,1.342,1.314,0.047,724.500,384.000,HighMean
target_temple.png,target_temple_HighSal.png,79,1.096,1.474,1.096,1.172,1.399,-0.378,554.500,554.000,HighSal
target_toystore.png,target_toystore_HighMean.png,45,1.159,0.788,0.399,1.085,0.862,0.371,724.500,299.000,HighMean
target_toystore.png,target_toystore_HighSal.png,81,0.704,1.162,-0.110,0.796,1.071,-0.458,724.500,554.000,HighSal
target_treehouse.png,target_treehouse_HighMean.png,30,1.259,1.401,0.813,1.288,1.373,-0.142,469.500,214.000,HighMean
target_treehouse.png,target_treehouse_HighSal.png,45,0.857,1.726,1.315,1.031,1.553,-0.870,724.500,299.000,HighSal
target_tunnel.png,target_tunnel_HighMean.png,30,1.781,0.979,-0.074,1.620,1.139,0.802,469.500,214.000,HighMean
target_tunnel.png,target_tunnel_HighSal.png,70,0.386,2.172,1.994,0.743,1.815,-1.786,809.500,469.000,HighSal
target_warehouse.png,target_warehouse_HighMean.png,52,1.562,0.309,0.510,1.311,0.560,1.252,299.500,384.000,HighMean
target_warehouse.png,target_warehouse_HighSal.png,82,0.639,1.686,1.122,0.849,1.477,-1.047,809.500,554.000,HighSal
target_waterfall.png,target_waterfall_HighMean.png,31,1.270,0.315,1.406,1.079,0.506,0.955,554.500,214.000,HighMean
target_waterfall.png,target_waterfall_HighSal.png,80,0.782,1.368,1.092,0.899,1.251,-0.587,639.500,554.000,HighSal
target_winecellar.png,target_winecellar_HighMean.png,64,1.175,0.542,0.462,1.048,0.668,0.634,299.500,469.000,HighMean
target_winecellar.png,target_winecellar_HighSal.png,31,0.764,1.410,0.015,0.893,1.280,-0.646,554.500,214.000,HighSal
